Book_Name,Star_rating,Price,Availablity
Doctor Sleep (The Shining ...,Two,£40.12,In stock
Demigods & Magicians: Percy ...,Five,£37.51,In stock
Dear Mr. Knightley,Five,£11.21,In stock
Daily Fantasy Sports,One,£36.58,In stock
Crazy Love: Overwhelmed by ...,Two,£47.72,In stock
Cometh the Hour (The ...,Three,£25.01,In stock
Code Name Verity (Code ...,Four,£22.13,In stock
Clockwork Angel (The Infernal ...,One,£44.14,In stock
City of Glass (The ...,Four,£56.02,In stock
City of Fallen Angels ...,Four,£11.23,In stock
City of Bones (The ...,One,£43.28,In stock
City of Ashes (The ...,One,£47.27,In stock
Cell,Four,£20.29,In stock
Catching Jordan (Hundred Oaks),Three,£50.83,In stock
"Carry On, Warrior: Thoughts ...",Three,£31.85,In stock
Carrie,Two,£46.23,In stock
Buying In: The Secret ...,Four,£37.80,In stock
Brain on Fire: My ...,Five,£49.32,In stock
Batman: Europa,Two,£32.01,In stock
Barefoot Contessa Back to ...,One,£28.01,In stock
Barefoot Contessa at Home: ...,Five,£50.62,In stock
Balloon Animals,Three,£17.03,In stock
Art Ops Vol. 1,Three,£48.80,In stock
Aristotle and Dante Discover ...,Four,£58.14,In stock
Angels Walking (Angels Walking ...,Two,£34.20,In stock
Angels & Demons (Robert ...,Three,£51.48,In stock
All the Light We ...,Five,£29.87,In stock
Adulthood Is a Myth: ...,Two,£10.90,In stock
Abstract City,Five,£56.37,In stock
A Time of Torment ...,Five,£48.35,In stock
A Study in Scarlet ...,Two,£16.73,In stock
A Series of Catastrophes ...,Two,£56.48,In stock
A People's History of ...,Two,£40.79,In stock
A Man Called Ove,One,£39.72,In stock
A Distant Mirror: The ...,Three,£14.58,In stock
A Brush of Wings ...,One,£55.51,In stock
1491: New Revelations of ...,Three,£21.80,In stock
"The Three Searches, Meaning, ...",Three,£13.33,In stock
Searching for Meaning in ...,One,£38.73,In stock
Rook,Four,£37.86,In stock
My Kitchen Year: 136 ...,Two,£11.53,In stock
13 Hours: The Inside ...,One,£27.06,In stock
Will You Won't You ...,Three,£13.86,In stock
Tipping Point for Planet ...,One,£37.55,In stock
The Star-Touched Queen,Five,£32.30,In stock
The Silent Sister (Riley ...,Five,£46.29,In stock
The Midnight Watch: A ...,One,£26.20,In stock
The Lonely City: Adventures ...,Two,£33.26,In stock
The Gray Rhino: How ...,Four,£59.15,In stock
The Golden Condom: And ...,One,£39.43,In stock
The Epidemic (The Program ...,Five,£14.44,In stock
The Dinner Party,Two,£56.54,In stock
The Diary of a ...,Three,£59.90,In stock
The Children,Three,£11.88,In stock
Stars Above (The Lunar ...,Two,£48.05,In stock
Snatched: How A Drug ...,Three,£21.21,In stock
Raspberry Pi Electronics Projects ...,Four,£49.67,In stock
Quench Your Own Thirst: ...,One,£43.14,In stock
Psycho: Sanitarium (Psycho #1.5),Five,£36.97,In stock
Poisonous (Max Revere Novels ...,Three,£26.80,In stock
One with You (Crossfire ...,Four,£15.71,In stock
No Love Allowed (Dodge ...,Four,£54.65,In stock
Murder at the 42nd ...,Four,£54.36,In stock
Most Wanted,Three,£35.28,In stock
"Love, Lies and Spies",Two,£20.55,In stock
How to Speak Golf: ...,Five,£58.32,In stock
Hide Away (Eve Duncan ...,One,£11.84,In stock
Furiously Happy: A Funny ...,Four,£41.46,In stock
Everyday Italian: 125 Simple ...,Five,£20.10,In stock
Equal Is Unfair: America's ...,One,£56.86,In stock
Eleanor & Park,Five,£56.51,In stock
Dirty (Dive Bar #1),Four,£40.83,In stock
Can You Keep a ...,One,£48.64,In stock
Boar Island (Anna Pigeon ...,Three,£59.48,In stock
A Paris Apartment,Four,£39.01,In stock
A la Mode: 120 ...,One,£38.77,In stock
Troublemaker: Surviving Hollywood and ...,Two,£48.39,In stock
The Widow,Two,£27.26,In stock
The Sleep Revolution: Transforming ...,Four,£11.68,In stock
The Improbability of Love,One,£59.45,In stock
The Art of Startup ...,Three,£21.00,In stock
Take Me Home Tonight ...,Three,£53.98,In stock
Sleeping Giants (Themis Files ...,One,£48.74,In stock
Setting the World on ...,Two,£21.15,In stock
Playing with Fire,Three,£13.71,In stock
Off the Hook (Fishing ...,Three,£47.67,In stock
Mothering Sunday,Two,£13.34,In stock
"Mother, Can You Not?",Five,£16.89,In stock
M Train,One,£27.18,In stock
Lilac Girls,Two,£17.28,In stock
Lies and Other Acts ...,One,£45.14,In stock
Lab Girl,One,£40.85,In stock
Keep Me Posted,Four,£20.46,In stock
It Didn't Start with ...,Three,£56.27,In stock
Grey (Fifty Shades #4),Four,£48.49,In stock
"Exit, Pursued by a ...",Four,£51.34,In stock
Daredevils,Three,£16.34,In stock
Cravings: Recipes for What ...,Three,£20.50,In stock
Born for This: How ...,Five,£21.59,In stock
Arena,Four,£21.36,In stock
Adultery,Five,£20.88,In stock
A Mother's Reckoning: Living ...,Three,£19.53,In stock
A Gentleman's Position (Society ...,Five,£14.75,In stock
11/22/63,Three,£48.48,In stock
10% Happier: How I ...,Two,£24.57,In stock
10-Day Green Smoothie Cleanse: ...,Five,£49.71,In stock
Without Shame,Five,£48.27,In stock
Watchmen,Four,£58.05,In stock
Unlimited Intuition Now,Four,£58.87,In stock
Underlying Notes,Two,£11.82,In stock
The Shack,One,£28.03,In stock
The New Brand You: ...,Five,£44.05,In stock
The Moosewood Cookbook: Recipes ...,Four,£12.34,In stock
The Flowers Lied,Two,£16.68,In stock
The Fabric of the ...,One,£55.91,In stock
The Book of Mormon,Three,£24.57,In stock
The Art and Science ...,Five,£52.98,In stock
The Alien Club,One,£54.40,In stock
Suzie Snowflake: One beautiful ...,Five,£54.81,In stock
Nap-a-Roo,One,£25.08,In stock
NaNo What Now? Finding ...,Four,£10.41,In stock
Modern Day Fables,Two,£47.44,In stock
If I Gave You ...,One,£20.91,In stock
"Fruits Basket, Vol. 9 ...",Four,£33.95,In stock
Dress Your Family in ...,Three,£43.68,In stock
Don't Forget Steven,One,£33.23,In stock
Chernobyl 01:23:40: The Incredible ...,Two,£35.92,In stock
Art and Fear: Observations ...,Four,£48.63,In stock
A Shard of Ice ...,Three,£56.63,In stock
A Hero's Curse (The ...,Three,£50.49,In stock
23 Degrees South: A ...,Two,£35.79,In stock
Zero to One: Notes ...,Three,£34.06,In stock
Why Not Me?,One,£17.76,In stock
When Breath Becomes Air,Two,£39.36,In stock
Vagabonding: An Uncommon Guide ...,Two,£36.94,In stock
The Unlikely Pilgrimage of ...,Five,£43.62,In stock
The New Drawing on ...,Three,£43.02,In stock
"The Midnight Assassin: Panic, ...",Four,£28.45,In stock
The Martian (The Martian ...,Two,£41.39,In stock
The High Mountains of ...,One,£51.15,In stock
The Grownup,One,£35.88,In stock
The E-Myth Revisited: Why ...,One,£36.91,In stock
South of Sunshine,One,£28.93,In stock
Smarter Faster Better: The ...,Five,£38.89,In stock
Silence in the Dark ...,Three,£58.33,In stock
Shadows of the Past ...,Five,£39.67,In stock
Roller Girl,Five,£14.10,In stock
Rising Strong,Three,£21.82,In stock
Proofs of God: Classical ...,One,£54.21,In stock
Please Kill Me: The ...,Four,£31.19,In stock
Out of Print: City ...,Five,£53.64,In stock
My Life Next Door ...,Five,£36.39,In stock
Miller's Valley,Two,£58.54,In stock
Man's Search for Meaning,Three,£29.48,In stock
Love That Boy: What ...,Two,£25.06,In stock
Living Forward: A Proven ...,Three,£12.55,In stock
Les Fleurs du Mal,Five,£29.04,In stock
Left Behind (Left Behind ...,Two,£40.72,In stock
Kill 'Em and Leave: ...,Five,£45.05,In stock
Kierkegaard: A Christian Missionary ...,One,£47.13,In stock
John Vassos: Industrial Design ...,Four,£20.22,In stock
I'll Give You the ...,One,£56.48,In stock
I Will Find You,One,£44.21,In stock
Hystopia: A Novel,Four,£21.96,In stock
Howl and Other Poems,Two,£40.45,In stock
History of Beauty,Four,£10.29,In stock
Heaven is for Real: ...,Two,£52.86,In stock
Future Shock (Future Shock ...,Five,£55.65,In stock
Ender's Game (The Ender ...,One,£43.64,In stock
Diary of a Citizen ...,One,£28.41,In stock
Death by Leisure: A ...,Four,£37.51,In stock
Brilliant Beacons: A History ...,Three,£11.45,In stock
Brazen: The Courage to ...,Two,£19.22,In stock
Between the World and ...,Four,£56.91,In stock
Being Mortal: Medicine and ...,Four,£55.06,In stock
A Murder Over a ...,Three,£13.20,In stock
32 Yolks,Two,£53.63,In stock
"""Most Blessed of the ...",Five,£44.48,In stock
You Are a Badass: ...,Three,£12.08,In stock
Wildlife of New York: ...,Two,£22.14,In stock
What Happened on Beale ...,Five,£25.37,In stock
Unreasonable Hope: Finding Faith ...,Two,£46.33,In stock
Under the Tuscan Sun,Three,£37.33,In stock
Toddlers Are A**holes: It's ...,One,£25.55,In stock
The Year of Living ...,One,£34.72,In stock
The Whale,Four,£35.96,In stock
The Story of Art,Four,£41.14,In stock
The Origin of Species,Four,£10.01,In stock
The Great Gatsby,Four,£36.05,In stock
The Good Girl,Three,£49.03,In stock
The Glass Castle,One,£16.24,In stock
The Faith of Christopher ...,One,£39.55,In stock
The Drowning Girls,Three,£35.67,In stock
The Constant Princess (The ...,Three,£16.62,In stock
The Bourne Identity (Jason ...,Four,£42.78,In stock
The Bachelor Girl's Guide ...,Five,£52.30,In stock
The Art Book,Two,£32.34,In stock
The 7 Habits of ...,Four,£33.17,In stock
Team of Rivals: The ...,Five,£20.12,In stock
Steal Like an Artist: ...,Two,£20.90,In stock
"Sit, Stay, Love",Three,£20.90,In stock
Sister Dear,Four,£40.20,In stock
"Shrunken Treasures: Literary Classics, ...",Three,£52.87,In stock
"Rich Dad, Poor Dad",One,£51.74,In stock
Raymie Nightingale,Two,£34.41,In stock
Playing from the Heart,One,£32.38,In stock
Nightstruck: A Novel,Four,£50.35,In stock
Naturally Lean: 125 Nourishing ...,Five,£11.38,In stock
Meternity,Three,£43.58,In stock
Memoirs of a Geisha,Three,£49.67,In stock
Like Never Before (Walker ...,Two,£28.77,In stock
Life of Pi,Four,£13.22,In stock
Leave This Song Behind: ...,Five,£51.17,In stock
King's Folly (The Kinsman ...,Five,£39.61,In stock
John Adams,Four,£57.43,In stock
How to Cook Everything ...,Four,£46.01,In stock
How to Be a ...,Two,£28.25,In stock
Good in Bed (Cannie ...,Five,£37.05,In stock
"Fruits Basket, Vol. 7 ...",One,£19.57,In stock
For the Love: Fighting ...,Three,£45.13,In stock
Finding God in the ...,Two,£46.64,In stock
Every Heart a Doorway ...,Five,£12.16,In stock
Delivering the Truth (Quaker ...,Four,£20.89,In stock
Counted With the Stars ...,Five,£17.97,In stock
"Chronicles, Vol. 1",Two,£52.60,In stock
Blue Like Jazz: Nonreligious ...,One,£25.77,In stock
Benjamin Franklin: An American ...,Three,£48.19,In stock
At The Existentialist CafÃ©: ...,Five,£29.93,In stock
A Summer In Europe,Two,£44.34,In stock
A Short History of ...,Five,£52.40,In stock
A Gathering of Shadows ...,Four,£44.81,In stock
The Sound Of Love,Five,£57.84,In stock
The Rise and Fall ...,Two,£39.67,In stock
The Perks of Being ...,Three,£55.02,In stock
The Mysterious Affair at ...,Four,£24.80,In stock
The Man Who Mistook ...,Four,£59.45,In stock
The Makings of a ...,Two,£31.58,In stock
The Joy of Cooking,Four,£43.27,In stock
The Invention of Wings,One,£37.34,In stock
The Hobbit (Middle-Earth Universe),Five,£17.80,In stock
The Great Railway Bazaar,One,£30.54,In stock
The Golden Compass (His ...,One,£18.77,In stock
The God Delusion,Three,£46.85,In stock
The Girl You Left ...,One,£15.79,In stock
The Fellowship of the ...,Two,£10.27,In stock
The Collected Poems of ...,Five,£15.42,In stock
The Barefoot Contessa Cookbook,Five,£59.92,In stock
Tell the Wolves I'm ...,Two,£50.96,In stock
Ship Leaves Harbor: Essays ...,Three,£30.60,In stock
Pride and Prejudice,Four,£19.27,In stock
Musicophilia: Tales of Music ...,One,£46.58,In stock
Mere Christianity,Three,£48.51,In stock
Me Before You (Me ...,One,£19.02,In stock
In the Woods (Dublin ...,Two,£38.38,In stock
In Cold Blood,Four,£49.98,In stock
How to Stop Worrying ...,Five,£46.49,In stock
Give It Back,Two,£18.32,In stock
"Girl, Interrupted",Three,£42.14,In stock
Fun Home: A Family ...,Four,£56.59,In stock
"Fruits Basket, Vol. 6 ...",Four,£20.96,In stock
Deception Point,Four,£40.32,In stock
"Death Note, Vol. 6: ...",Three,£36.39,In stock
Catherine the Great: Portrait ...,Four,£58.55,In stock
Better Homes and Gardens ...,Three,£39.61,In stock
An Unquiet Mind: A ...,Three,£21.30,In stock
A Year in Provence ...,Four,£56.88,In stock
World Without End (The ...,Four,£32.97,In stock
"Will Grayson, Will Grayson ...",Four,£47.31,In stock
Why Save the Bankers?: ...,Two,£48.67,In stock
