Age,Fare,Income,Score,City
26.8,43.02,35032.25,95.37,Karachi
,20.03,10497.34,85.82,Karachi
39.1,42.13,87846.39,82.98,Islamabad
43.2,4.51,19263.89,94.27,Karachi
54.0,42.9,22979.63,71.73,Peshawar
32.5,297.67,23933.56,55.89,
27.5,1.98,95045.09,67.58,Quetta
26.1,151.19,8143.93,79.85,Lahore
26.8,20.9,326577.96,95.13,Karachi
34.2,81.84,76057.11,95.04,Quetta
38.4,61.0,42457.86,50.4,Peshawar
37.8,33.48,34946.52,99.84,Lahore
43.3,53.65,44350.88,81.12,Quetta
35.1,84.32,52301.78,81.62,Lahore
49.5,20.71,57048.15,85.38,Karachi
32.4,15.84,53579.57,30.76,Peshawar
62.2,44.06,38665.63,,Lahore
41.3,65.98,31630.06,93.77,Quetta
26.4,57.47,32666.61,98.77,Karachi
24.3,63.94,31683.91,91.23,Karachi
39.8,22.88,80309.17,95.46,Quetta
32.8,,55022.07,93.69,Quetta
42.1,5.12,4636.56,73.01,Lahore
39.7,31.45,57476.45,58.89,Islamabad
34.3,0.23,41619.14,96.92,Karachi
26.5,15.7,35843.01,93.01,Lahore
19.9,18.26,27668.15,60.4,Quetta
,20.18,79768.1,99.04,Lahore
43.6,47.56,70492.99,98.55,Quetta
37.1,19.68,21141.34,97.33,Peshawar
22.5,23.82,48287.91,86.43,Quetta
36.7,10.85,18395.11,97.55,Quetta
38.9,18.69,13825.46,48.33,Quetta
26.2,10.31,23418.88,91.12,Islamabad
36.5,3.04,66414.82,89.56,Quetta
35.6,37.0,70769.79,95.75,Karachi
23.6,44.13,52008.36,90.45,Karachi
38.6,38.65,60328.93,83.73,Lahore
40.6,24.91,52121.08,79.13,Islamabad
45.8,19.11,23178.09,78.97,Lahore
45.5,79.61,49135.93,87.06,Karachi
21.2,29.28,63594.78,64.79,Karachi
25.6,26.09,61574.55,74.49,Peshawar
40.2,1.04,83469.73,78.78,Quetta
40.1,16.7,59623.95,99.14,Karachi
40.2,19.13,46444.52,99.9,Lahore
73.5,20.35,76811.16,96.42,Lahore
40.7,34.72,35647.53,83.66,Quetta
46.4,30.51,,92.06,Quetta
44.5,37.45,32398.04,92.28,Peshawar
41.5,57.91,21559.42,67.61,Islamabad
31.8,,22637.77,66.11,Lahore
42.6,50.65,32821.43,64.02,Quetta
27.3,124.51,20854.1,94.35,Lahore
32.6,0.74,29273.18,82.38,Quetta
30.1,8.72,9647.65,95.25,Karachi
35.8,0.3,42163.31,96.83,Lahore
58.1,41.71,36346.16,96.94,Karachi
18.0,91.32,20497.08,93.72,Lahore
41.9,11.16,57611.18,91.57,Islamabad
18.9,104.71,70003.4,73.34,Peshawar
30.3,2.49,11786.48,98.08,
45.9,108.99,,80.08,Quetta
35.6,17.33,21196.69,88.63,Islamabad
24.2,4.28,18808.57,94.91,Lahore
27.8,26.61,64901.91,89.82,Karachi
41.8,11.87,31707.92,,Lahore
27.7,13.41,30177.13,86.4,Lahore
,14.69,8931.11,91.47,Lahore
35.5,64.99,56658.23,97.31,Peshawar
28.5,30.99,15252.81,98.14,Peshawar
56.4,14.92,37871.45,88.13,Quetta
41.3,37.7,44097.74,65.09,Karachi
18.0,50.37,94132.72,93.68,Islamabad
36.9,12.73,14527.89,80.19,Islamabad
28.4,21.35,4386.74,83.88,Islamabad
43.5,5.2,41303.18,59.77,Lahore
27.1,7.99,128073.27,74.2,Peshawar
33.9,45.72,86444.9,87.46,Karachi
40.0,8.01,,83.95,Lahore
43.7,29.79,25741.37,65.7,Peshawar
23.0,49.38,63894.32,92.35,Peshawar
31.7,4.52,18370.8,94.06,Karachi
30.3,33.51,50688.3,99.84,Karachi
28.5,11.86,,73.72,Karachi
52.7,131.79,76278.54,75.78,Lahore
,26.43,250637.27,98.35,
22.4,65.59,47795.71,87.1,Karachi
44.2,,,,Quetta
56.2,1.78,35671.17,98.1,Lahore
45.3,40.11,10526.45,40.89,Quetta
19.8,120.97,22330.32,96.37,Islamabad
30.2,36.81,27268.9,98.96,Quetta
47.7,68.41,25163.21,86.45,Karachi
27.9,86.24,40402.56,79.86,Lahore
39.4,10.35,20420.73,99.51,Karachi
42.7,9.53,79596.19,83.87,Islamabad
25.7,37.77,36320.77,88.6,Karachi
34.4,21.18,36079.85,98.37,Karachi
18.0,73.27,28867.56,97.16,Karachi
24.8,92.11,40482.84,87.41,Peshawar
32.5,17.44,64703.38,94.73,Islamabad
22.5,10.81,19791.52,58.21,Karachi
51.3,60.66,22909.76,74.38,Karachi
20.7,12.85,29360.1,38.37,Karachi
30.6,69.18,14155.95,95.49,Lahore
36.3,22.05,20465.98,47.54,Peshawar
49.4,44.05,26020.64,91.54,Lahore
20.6,4.02,66974.85,93.6,Peshawar
46.6,39.11,43642.77,99.23,Karachi
35.1,24.04,41585.75,99.19,Islamabad
25.2,35.33,65882.53,82.33,Quetta
39.6,7.36,32986.04,90.81,Quetta
37.0,53.4,47730.48,96.15,Karachi
29.0,79.45,33784.07,85.72,Lahore
35.7,9.77,43728.43,95.63,Islamabad
31.1,4.02,24150.71,87.07,Peshawar
36.1,0.96,6586.83,93.32,Karachi
,41.09,33057.53,73.98,Islamabad
50.9,37.37,98314.19,74.22,Islamabad
22.6,31.65,69449.2,90.27,Peshawar
56.3,10.56,71380.37,93.52,Islamabad
18.0,19.83,86274.69,93.25,Lahore
33.5,36.1,38640.66,75.42,Lahore
40.9,27.47,41694.35,94.03,Lahore
37.8,176.21,23567.97,96.48,Islamabad
28.8,5.87,29107.44,,Lahore
32.9,47.52,55884.36,90.57,Peshawar
30.1,20.72,84349.07,90.13,Islamabad
29.1,22.36,32938.18,72.43,Quetta
43.5,50.58,26499.14,96.25,Islamabad
38.6,47.16,36328.93,92.81,Peshawar
28.1,189.58,55317.51,75.21,Quetta
44.0,5.5,13217.56,73.97,Islamabad
38.1,4.4,7278.45,92.72,Lahore
43.1,51.54,24701.62,90.78,Karachi
41.3,34.55,15452.12,94.58,Karachi
26.7,12.82,25445.7,59.55,Lahore
29.4,3.31,32746.58,98.11,Karachi
42.5,3.58,26442.45,59.29,Karachi
41.1,89.84,100380.9,82.73,Lahore
34.8,8.52,45648.29,88.62,Lahore
,15.63,44816.52,99.5,Islamabad
47.8,10.28,56136.7,90.32,Islamabad
29.1,17.54,16363.64,92.14,Lahore
40.5,2.88,75160.29,97.36,Peshawar
33.0,29.28,34439.69,83.98,Karachi
32.8,2.8,58066.05,46.81,Islamabad
46.0,64.45,17149.08,87.61,Karachi
43.3,10.65,12238.83,81.18,Quetta
43.1,31.06,64377.71,98.94,Lahore
48.1,84.84,47263.17,91.89,Peshawar
35.2,42.09,19313.58,98.14,Quetta
41.8,30.45,19756.46,85.77,Quetta
31.9,15.68,79841.95,58.17,Quetta
38.2,16.2,15794.41,83.74,Lahore
33.7,44.28,114676.58,98.8,
36.0,205.58,19332.94,93.43,Lahore
41.0,43.37,56776.3,88.0,Islamabad
,32.64,28852.94,92.26,Quetta
55.9,52.47,55394.26,73.1,Quetta
24.9,25.03,24812.93,74.72,Peshawar
22.9,2.48,32404.25,85.81,Islamabad
46.6,33.05,37370.74,92.99,Quetta
42.9,126.45,18006.15,95.58,Karachi
41.2,7.71,60996.82,98.32,Peshawar
41.3,46.85,25355.49,93.42,Lahore
34.9,8.97,30945.41,92.0,Peshawar
26.0,30.7,18105.22,83.1,Karachi
35.8,4.07,6041.25,83.9,Islamabad
28.2,23.94,31770.09,98.91,Lahore
44.8,56.45,196581.19,92.46,Lahore
33.5,17.08,62895.07,96.99,Islamabad
26.7,43.73,35829.17,97.44,Peshawar
31.8,63.48,30211.45,73.66,Quetta
39.1,104.79,36891.12,99.36,Peshawar
29.4,10.7,53262.26,91.85,Karachi
26.8,20.39,15889.77,97.24,Quetta
37.4,6.61,79223.26,68.28,Peshawar
37.4,195.63,59920.08,87.79,Islamabad
29.9,104.69,60037.82,96.05,Karachi
30.3,31.06,49361.84,89.53,Karachi
37.3,73.81,36817.61,80.28,Karachi
,29.44,58162.89,52.41,Quetta
20.9,39.08,54955.0,96.26,Lahore
27.8,3.73,28344.02,67.4,Quetta
32.9,56.3,24306.01,59.16,Peshawar
38.1,5.47,38999.32,62.77,Lahore
49.8,,107399.85,84.87,Peshawar
43.6,60.94,15254.43,85.09,Lahore
33.4,49.34,13000.36,92.26,Quetta
34.8,1.47,40754.95,79.06,Karachi
25.0,14.45,37632.43,88.63,Islamabad
34.8,12.21,,83.03,Karachi
32.1,17.86,43077.98,91.61,Quetta
38.2,3.67,31062.56,80.28,Lahore
26.7,110.56,103043.28,73.9,Karachi
40.2,32.28,11841.52,,Quetta
50.3,14.58,20334.05,73.16,Peshawar
33.9,20.23,33783.29,88.34,Islamabad
39.0,23.71,11496.15,72.07,Karachi
41.9,36.71,32109.33,91.53,Lahore
31.0,29.0,116195.47,92.85,Peshawar
37.2,100.73,36850.36,63.01,Quetta
35.1,27.48,42680.21,95.66,Islamabad
36.0,193.93,15031.22,72.11,
27.3,76.27,23589.26,90.07,Quetta
35.2,9.35,27927.37,89.17,Quetta
40.0,106.71,29074.0,94.47,Karachi
49.5,4.95,89067.58,87.23,Karachi
44.6,68.03,53657.89,94.1,Lahore
56.5,19.16,16680.23,99.4,Quetta
27.3,84.14,43154.99,95.24,Karachi
43.7,81.02,51470.04,99.9,Islamabad
36.8,65.58,80668.57,42.51,Islamabad
56.9,62.43,109795.9,49.39,Quetta
26.9,14.54,17844.2,92.46,Karachi
26.6,3.38,20586.68,80.45,Lahore
29.0,20.63,15058.46,,Lahore
18.0,7.62,30828.23,83.32,Lahore
29.7,47.49,50334.74,75.45,Islamabad
27.4,16.99,72484.94,56.01,Karachi
,148.54,34435.19,92.33,Karachi
38.4,40.97,29030.63,77.06,Islamabad
53.8,69.15,40385.68,95.36,Lahore
44.5,5.69,20239.67,30.42,Lahore
29.2,79.22,156792.27,99.61,Quetta
26.0,102.43,,86.12,Peshawar
,26.7,41328.95,83.84,Karachi
21.8,37.28,149720.33,82.53,Karachi
53.3,57.89,36488.77,98.08,Karachi
46.8,7.69,31792.09,58.16,Peshawar
30.3,27.93,28276.55,97.0,Quetta
18.0,20.34,32007.51,85.38,Peshawar
48.5,6.33,94939.39,,Lahore
33.9,18.33,7720.98,94.49,Lahore
47.4,2.82,106234.44,88.14,Karachi
19.1,1.05,13402.95,91.9,Islamabad
29.0,5.81,30132.01,97.38,Karachi
,132.0,26890.52,97.19,Islamabad
35.5,31.9,54829.7,91.88,Peshawar
30.5,135.05,11864.58,78.76,Lahore
41.2,22.66,50187.48,65.76,Islamabad
24.3,14.95,149794.07,98.68,Peshawar
33.6,28.22,13985.53,92.51,Lahore
36.2,23.16,41472.85,98.42,Islamabad
40.1,4.47,22847.85,99.75,
42.1,40.96,48928.78,83.74,Karachi
23.8,9.74,36805.53,86.16,Karachi
19.7,38.66,23178.01,97.33,Peshawar
47.8,42.02,51098.51,96.01,Karachi
38.3,6.6,128417.72,99.64,Quetta
27.5,2.53,31772.85,72.98,Lahore
50.5,,60103.93,44.85,Peshawar
36.2,24.63,14686.87,97.82,Karachi
46.8,2.4,18592.15,96.05,Lahore
35.7,210.88,50548.29,69.58,Islamabad
55.6,2.38,102629.55,60.85,Karachi
52.6,47.5,46580.13,91.84,Lahore
32.5,164.61,29168.93,99.22,Quetta
44.7,10.93,,99.4,Islamabad
41.5,6.14,15134.23,87.2,Quetta
48.7,5.18,55445.77,92.51,
25.4,14.45,67348.31,99.56,Quetta
41.9,4.26,26463.9,86.87,Lahore
45.6,47.13,,99.83,Lahore
18.0,,43744.22,76.78,Quetta
23.2,28.49,26750.17,94.51,Lahore
18.0,228.52,34672.67,99.38,Karachi
32.3,67.27,157913.9,86.69,Lahore
42.2,,30548.84,92.4,Peshawar
50.0,14.63,,45.37,Lahore
,39.12,23079.98,88.21,Peshawar
51.3,29.95,61140.78,95.17,Lahore
21.2,22.21,31988.86,81.46,Lahore
18.0,5.6,23050.41,95.25,Quetta
34.4,87.07,91574.93,64.81,Karachi
38.8,23.9,98097.98,92.96,Karachi
34.7,8.66,23853.91,88.03,Islamabad
18.0,18.34,9832.24,99.22,Quetta
34.1,21.39,73516.09,91.67,Quetta
22.0,70.3,22488.49,73.21,Karachi
41.7,52.91,63160.72,75.43,Quetta
38.7,58.67,9144.68,96.19,Karachi
25.6,0.44,67833.95,96.16,Quetta
29.9,21.52,15555.66,74.5,Lahore
24.4,26.26,60568.78,60.03,Karachi
34.4,0.78,36680.15,98.5,Karachi
44.6,12.03,18624.67,91.03,
25.1,57.13,27311.81,93.83,Quetta
40.0,5.9,58713.38,69.32,Quetta
29.7,30.66,39109.71,98.69,Karachi
27.1,9.69,54671.02,96.44,Lahore
33.9,0.49,144857.88,79.06,Lahore
24.6,,12149.35,99.21,Lahore
29.5,148.98,112650.89,89.83,Quetta
,64.69,39067.62,91.25,Peshawar
54.6,128.33,19357.81,93.89,Karachi
35.4,26.77,14310.95,92.47,Islamabad
28.0,4.65,31812.54,88.68,Peshawar
37.1,31.76,69227.61,97.36,Islamabad
33.9,24.23,33213.63,87.27,Peshawar
32.8,74.41,104590.55,75.45,Lahore
41.1,4.13,13150.0,78.58,Quetta
42.6,,36009.49,97.49,Islamabad
29.7,6.5,15113.21,97.58,Peshawar
29.2,15.7,46842.32,95.32,Quetta
32.2,53.48,,93.28,Islamabad
18.0,25.85,27050.66,92.12,Karachi
19.8,18.86,5866.72,82.92,Peshawar
48.7,20.07,41742.03,99.12,Karachi
51.4,24.61,49301.86,99.47,Lahore
32.5,61.49,48194.8,92.54,Karachi
40.8,89.06,86253.64,82.08,Karachi
38.1,124.34,17158.73,96.78,Peshawar
65.8,61.84,58463.11,84.61,Lahore
46.2,15.16,83680.0,95.49,Karachi
33.7,46.61,10456.6,67.42,Quetta
25.4,,45422.2,66.09,Islamabad
18.9,11.76,25516.34,94.71,Karachi
37.0,73.52,34301.15,96.08,Lahore
27.4,1.57,46322.06,92.05,Karachi
20.8,92.81,25820.91,95.87,Islamabad
28.5,24.76,22629.38,83.26,Lahore
24.2,40.56,37194.15,73.76,Peshawar
51.9,43.08,16965.34,83.23,Lahore
43.8,90.2,16982.22,73.91,Peshawar
34.9,40.5,58428.63,92.41,Lahore
49.8,38.07,16249.93,97.45,Islamabad
35.8,2.76,57896.88,79.91,Islamabad
26.4,29.23,50202.19,93.29,Lahore
50.2,6.51,10850.16,83.31,Karachi
40.4,53.49,22599.99,95.27,Islamabad
24.6,28.72,83773.88,98.73,Peshawar
33.1,45.61,18273.08,26.44,Peshawar
26.2,1.7,26236.77,97.45,Quetta
21.2,3.54,50183.55,33.12,Peshawar
44.3,50.4,62841.65,43.23,Quetta
54.1,2.99,30452.48,76.32,Lahore
21.0,,23902.61,83.84,Lahore
40.6,0.49,98288.17,87.07,Lahore
28.5,125.4,122667.14,69.84,Karachi
30.1,53.5,72056.13,94.87,Karachi
29.1,17.43,,90.54,Quetta
26.4,14.07,20624.07,85.51,Peshawar
35.5,17.21,20306.35,92.06,Peshawar
26.7,59.6,52352.76,91.63,Lahore
37.7,43.31,48672.95,93.99,Islamabad
34.5,8.19,96869.41,87.54,Karachi
32.6,7.65,57257.57,71.49,Karachi
25.9,,12680.79,96.62,Lahore
29.2,43.19,75838.65,,Karachi
42.6,57.82,18058.24,82.48,Lahore
40.0,12.32,27756.36,74.0,Quetta
25.2,0.85,43266.77,87.81,Peshawar
36.0,3.43,146820.68,77.32,Islamabad
42.5,137.51,320277.47,99.76,Peshawar
18.3,14.01,55531.52,74.41,Peshawar
40.4,58.65,31944.73,99.39,Quetta
28.4,39.2,52794.06,66.9,Karachi
40.7,19.25,67599.7,27.64,Islamabad
27.4,9.21,29013.97,94.78,Karachi
18.0,,127599.02,96.46,Peshawar
18.7,38.18,42661.39,78.25,Lahore
35.5,59.6,51452.8,95.62,Peshawar
37.6,41.3,57881.15,69.9,Karachi
26.0,30.23,48781.71,98.37,Peshawar
41.4,1.71,65333.38,97.98,Lahore
18.4,138.3,23574.54,41.94,Quetta
34.3,64.12,24567.72,83.19,Karachi
22.9,13.86,16812.74,71.85,Peshawar
28.5,156.42,49397.29,94.12,Karachi
35.5,36.84,62646.03,83.07,Quetta
26.4,34.93,50033.15,,Peshawar
31.2,55.14,117259.5,86.14,Peshawar
45.1,66.8,36173.53,82.79,Karachi
29.2,42.74,57995.41,87.15,Karachi
43.4,5.48,16912.52,91.59,Lahore
23.7,16.52,27695.64,95.16,Quetta
40.3,105.29,59093.51,78.05,Lahore
49.4,10.18,65799.76,96.15,Peshawar
18.0,,29561.35,82.32,Karachi
,22.63,34540.25,96.01,Peshawar
40.8,23.15,12550.16,85.27,Peshawar
33.0,37.97,28284.79,79.38,Islamabad
38.7,114.64,67728.9,96.3,Islamabad
29.0,11.01,54319.77,99.07,Peshawar
35.9,5.18,51558.17,97.89,Karachi
33.4,8.8,37603.09,86.03,
46.7,87.19,36495.5,71.6,Islamabad
37.5,41.52,22874.44,99.31,Karachi
38.4,13.47,59229.79,80.13,Peshawar
30.9,67.7,48760.75,93.74,Quetta
30.1,79.04,51247.04,90.23,Quetta
30.7,74.97,25128.94,60.35,Peshawar
38.9,100.5,8043.82,93.95,Karachi
30.8,11.63,78276.83,90.61,Peshawar
37.9,56.27,25973.03,99.79,Peshawar
55.8,24.69,19851.94,98.72,Islamabad
43.7,,59008.41,95.51,Quetta
31.7,,27600.55,99.58,Islamabad
47.0,59.92,76263.94,85.03,Islamabad
30.9,42.7,55932.68,91.66,Peshawar
18.0,7.81,58600.5,88.08,Islamabad
24.9,31.5,13958.32,97.12,Quetta
18.0,167.12,84826.29,94.74,Islamabad
31.5,110.83,43602.74,83.65,Quetta
35.2,1.77,28043.33,49.58,Islamabad
51.8,7.2,40149.77,99.22,Quetta
38.3,5.65,10473.83,66.84,Islamabad
32.8,51.78,48342.05,87.1,Islamabad
43.3,68.1,17666.76,87.55,Karachi
18.0,9.61,14088.73,89.59,Quetta
37.4,28.2,12510.81,98.92,Quetta
42.7,73.48,79132.73,98.59,Quetta
20.2,52.79,23377.18,86.22,Lahore
46.4,31.26,106256.3,93.75,Islamabad
38.4,35.7,24957.73,62.62,Quetta
30.8,28.4,10991.19,92.17,Lahore
41.3,14.13,16621.18,97.68,Karachi
57.7,33.3,86255.42,81.19,Quetta
36.8,46.7,32561.02,94.79,Quetta
37.5,82.64,24740.55,88.82,Lahore
30.4,,40619.88,82.05,Islamabad
26.5,57.27,51598.5,65.42,Karachi
43.3,6.98,79394.09,76.43,Quetta
26.4,24.76,100102.45,83.08,Islamabad
35.7,0.38,28230.6,82.93,Karachi
30.2,11.33,14353.75,56.24,Peshawar
39.8,51.85,27189.18,94.74,Peshawar
38.3,192.19,43573.15,99.98,Karachi
45.4,4.18,18497.09,95.24,Lahore
29.9,20.53,18582.85,96.31,Karachi
32.3,64.39,46196.14,83.74,Karachi
25.2,9.13,35099.54,84.93,Lahore
30.6,32.39,37158.87,86.5,Lahore
38.8,52.83,,99.75,Islamabad
42.6,38.28,30906.43,80.43,Islamabad
25.8,8.33,19016.02,94.14,Lahore
43.7,17.56,67720.14,83.59,Peshawar
48.6,61.26,74957.35,87.8,Peshawar
39.1,32.32,9973.32,93.71,Karachi
,0.21,18945.89,97.83,Quetta
27.3,57.25,12739.08,98.51,Karachi
22.6,1.44,,73.29,Karachi
18.0,54.77,34255.19,62.41,Quetta
50.0,9.05,13164.1,84.26,Lahore
41.5,126.87,19047.63,98.36,Peshawar
34.4,18.35,17983.86,92.29,Karachi
37.8,15.84,41985.82,80.42,Quetta
23.7,6.45,38121.78,77.3,Islamabad
59.5,14.59,21911.87,98.11,Karachi
36.3,83.71,41100.46,100.0,Peshawar
36.1,224.35,24768.4,81.32,Lahore
42.3,18.37,30026.67,93.39,Karachi
39.8,23.81,117174.14,95.59,Karachi
37.2,51.22,92811.21,99.81,Quetta
27.1,,14622.16,88.34,Islamabad
39.7,35.96,64913.62,71.43,Islamabad
53.8,19.87,64085.77,52.58,Lahore
,21.28,16255.97,87.49,Peshawar
50.9,47.58,64417.74,89.16,Lahore
29.9,0.13,,98.67,Karachi
25.1,38.66,16551.28,88.06,Karachi
,17.57,19105.82,92.83,Islamabad
35.6,63.23,74040.17,85.99,Peshawar
45.9,3.9,43916.56,92.62,Quetta
18.1,35.49,53424.96,95.88,Peshawar
50.3,26.23,46092.82,98.5,Karachi
33.4,41.13,47738.2,94.33,Quetta
30.7,2.68,14349.49,98.48,Peshawar
24.9,34.7,75593.26,97.08,Peshawar
18.5,32.97,82348.29,34.46,Quetta
43.2,32.9,30928.29,91.19,Karachi
35.7,,35226.93,88.61,Peshawar
